	id	title	freq	cluster
0	0	zaver	76818	15
1	1	doporuceni	63867	17
2	2	lab. vysetreni	52071	12
3	3	vysetreni	38384	8
4	4	lekar	37484	0
5	5	evidence	37292	5
6	6	pristroj	35021	7
7	7	klasifikace	33131	15
8	8	exam type	31480	7
9	9	nalez [ep	30965	2
10	10	m	28508	7
11	11	fa	22441	9
12	12	vysledek	21318	5
13	13	pocatek podani	21239	7
14	14	pm	20511	7
15	15	mg #.cteni [ep	19735	2
16	16	alergie	18697	9
17	17	operace	14974	10
18	18	expozice	14605	7
19	19	provedl	14189	7
20	20	prijem	14089	5
21	21	res	13943	15
22	22	provedeno	13940	5
23	23	ra	13694	14
24	24	interkurence	13470	10
25	25	vyska	13097	7
26	26	linie	12849	7
27	27	rezim	12253	4
28	28	res.	12099	15
29	29	tk/puls	12057	7
30	30	cevni vstup	11450	7
31	31	poznamky	10972	7
32	32	osobni anamneza	10948	10
33	33	objektivni vysetreni	10214	13
34	34	subjektivni potize	10207	1
35	35	karnofsky index	10193	8
36	36	mikroskopicky nalez	9798	11
37	37	ga	9582	9
38	38	subj.	9428	1
39	39	konzultace	8629	7
40	40	obj.	8551	13
41	41	interval	8476	7
42	42	makroskopicky nalez	8470	18
43	43	sa	8166	14
44	44	pa	8053	14
45	45	#	7937	11
46	46	diagnosticky souhrn	7910	15
47	47	topografie(icd-o-#)	7506	15
48	48	abusus	7462	9
49	49	zapsala	7199	5
50	50	usg [ep	6948	2
51	51	koureni	6868	9
52	52	##	6850	11
53	53	porody	6347	9
54	54	ekg	6270	19
55	55	gynekologicke operace	6265	9
56	56	dg	6245	15
57	57	hormonalni lecba	5961	9
58	58	angioinvaze	5852	15
59	59	rozvaha	5718	17
60	60	mastitis	5676	9
61	61	antikoncepce	5676	9
62	62	gynekologicka onemocneni	5625	9
63	63	osetrovatelske mereni	5587	2
64	64	hrudnik	5573	13
65	65	hlava	5411	13
66	66	hmotnost	5184	5
67	67	popis	5176	6
68	68	zdravotnicke prostredky	5170	7
69	69	informace pro lekare	5090	4
70	70	krk	5060	13
71	71	zapsal	4993	5
72	72	lecebna odpoved	4992	5
73	73	oa	4877	10
74	74	dopor.	4752	17
75	75	pred vykonem nutno doplnit	4746	4
76	76	osobni anamn.	4594	10
77	77	rtg	4504	2
78	78	asa	4503	5
79	79	zakl. dg.	4485	8
80	80	bricho	4393	6
81	81	farmakol.anamn.	4382	9
82	82	medikace	4330	4
83	83	dkk	4315	13
84	84	s	4161	1
85	85	vykon	4119	17
86	86	premedikace - vecer	4115	4
87	87	recept	4015	4
88	88	er	3884	5
89	89	dop.	3801	17
90	90	st. localis	3782	13
91	91	zobrazovaci a laboratorni vysetreni	3761	12
92	92	obj	3688	13
93	93	her-# imunohistochemicky	3678	5
94	94	erytrocyty	3509	12
95	95	frakcionace	3461	5
96	96	diagnoza	3431	8
97	97	pr	3321	5
98	98	st.localis	3300	13
99	99	technika	3264	5
100	100	zareni	3119	5
101	101	aplikace	3073	5
102	102	subj	3012	1
103	103	biopsie [ep	2995	2
104	104	b_erytrocyty	2974	12
105	105	lecebna rozvaha	2948	17
106	106	nalez	2876	6
107	107	operater	2851	5
108	108	#. korekce	2798	4
109	109	odber	2768	5
110	110	pece bude poskytnuta	2724	5
111	111	planovane objemy	2712	5
112	112	zobrazovaci metody	2591	2
113	113	mg #.cteni	2555	3
114	114	z	2543	2
115	115	o	2501	13
